id,role_name,nickname,password,email,register_date
8ff343da-787c-4097-b3be-eadc10c51c93,default_user,johnsonjoshua_268680_0000,cs&JX4P@$a24Vd!l,johnsonjoshua_268680_0000@generated.local,2023-04-02
8b01ebe8-7136-4a75-84c1-7631b2f53179,default_user,curtis61_268680_0001,lgR5GSnX^Ue$T9i5,curtis61_268680_0001@generated.local,2024-12-06
e51aa7be-e089-4209-a694-8fc83bbf5c6d,default_user,francisco53_268680_0002,ZX0f0GWZTc_j4#Bv,francisco53_268680_0002@generated.local,2025-12-05
d0bf3f13-9415-48b8-af19-014e774cfbd1,moderator,ithomas_268680_0003,8JViz_Oh$+RcWGWM,ithomas_268680_0003@generated.local,2022-11-01
7b599131-1d27-4452-b229-a2f8b42f2887,default_user,amoore_268680_0004,1Q4AZX+yR+R!B@ur,amoore_268680_0004@generated.local,2022-09-25
98ac65d7-bd17-4ba0-a732-8606cdb19015,default_user,wcabrera_268680_0005,(SEqJ3Rv2B2aKQ(4,wcabrera_268680_0005@generated.local,2025-03-22
231b0cdd-2630-40d2-a098-9581da9c1404,default_user,perezrebecca_268680_0006,8^RQrU5MI&1Ehp%a,perezrebecca_268680_0006@generated.local,2025-08-04
831df199-229b-48ff-a077-799bd172cdd8,default_user,wrightjames_268680_0007,*2uKpf$znxuoNN3H,wrightjames_268680_0007@generated.local,2026-05-01
f30530db-319f-430c-ab93-1dd833eb752d,moderator,sara74_268680_0008,O&48g%BwNuR%Vo^^,sara74_268680_0008@generated.local,2024-11-12
aa87a116-77f4-4b46-9b37-7261be7f8267,default_user,ksandoval_268680_0009,bB5)ZLug!(TIRP)D,ksandoval_268680_0009@generated.local,2023-01-08
9c694ee6-1874-4b63-9141-2b9741526d73,default_user,cheryl80_268680_0010,v87rg+83_cJP6t$Y,cheryl80_268680_0010@generated.local,2025-06-22
5cef00b8-e51d-410b-89f6-991698046a76,moderator,evan78_268680_0011,(vd+6FSa$Ev+#Rcb,evan78_268680_0011@generated.local,2025-11-06
15416ff5-42bb-4fae-bd5a-c3ebd79ea5b1,default_user,nicolejohnson_268680_0012,lpn7k*qp+mZ5k4@2,nicolejohnson_268680_0012@generated.local,2024-12-15
381e64e2-edf9-4c29-af1c-d2b951de276e,default_user,ifrazier_268680_0013,1x^(KfiWPGU0eDuR,ifrazier_268680_0013@generated.local,2026-03-09
